Country,LE_index,LE_female,LE_male,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Israel,82.73,84.71,80.67,19.20,0.69,23.40,55691.00,7.34,0.71,124.10,62.00,0.89,3.72,1.80,6.79,5.90
Italy,83.87,85.87,81.75,22.10,0.78,21.60,60847.00,6.32,0.70,99.40,53.00,0.86,2.87,1.60,5.42,1.30
Ivory Coast,62.11,64.31,60.17,0.10,1.74,10.60,31433.77,5.08,0.65,35.00,43.00,0.67,0.20,0.30,4.76,10.00
Jamaica,71.61,74.15,69.08,0.10,0.40,34.20,11662.00,5.84,0.76,86.70,44.00,0.42,0.65,3.90,2.14,5.20
Japan,84.85,87.88,81.83,17.80,0.33,4.90,51685.00,6.06,0.67,53.50,71.00,0.65,2.58,1.50,8.66,3.40
Jordan,77.98,80.33,75.89,36.30,1.64,35.60,10821.00,4.19,0.66,42.80,50.00,0.85,0.71,1.06,2.09,0.40
Kazakhstan,74.53,78.52,70.27,20.90,3.70,19.30,40813.00,6.19,0.70,74.70,38.00,0.70,0.78,11.70,12.27,6.00
Kenya,63.83,66.12,61.64,9.90,0.39,11.00,6619.00,4.47,0.69,13.60,30.00,0.82,0.52,4.30,0.40,4.00
Kiribati,66.6,68.32,64.69,36.80,0.42,46.20,3702.00,5.50,0.72,112.30,43.00,0.57,0.77,5.62,0.57,5.20
Kuwait,80.6,82,79.45,0.20,1.35,45.20,51636.00,6.95,0.65,86.70,46.00,0.63,1.96,2.07,23.99,0.40
Kyrgyzstan,71.82,75.4,68.31,26.90,2.46,24.40,8009.00,5.50,0.70,33.30,26.00,0.68,0.34,9.50,1.48,5.90
Laos,69.22,71.53,67.02,25.10,0.53,7.80,9788.00,5.14,0.69,53.10,34.00,0.76,0.22,6.20,2.66,5.20
Latvia,76.33,80.6,71.75,32.60,1.72,29.80,43867.00,6.23,0.78,95.70,60.00,0.48,1.41,2.90,3.56,15.50
Lebanon,77.95,79.86,75.88,34.10,4.25,31.10,12575.00,2.71,0.63,38.20,23.00,0.90,0.94,10.90,4.14,8.70
Lesotho,57.8,60.44,55.03,24.10,1.67,19.30,2999.00,3.19,0.69,14.80,37.00,0.62,0.13,4.10,0.34,5.20
Liberia,62.32,63.63,61.02,7.50,1.66,16.20,1885.00,4.27,0.76,23.40,28.00,0.56,0.15,3.20,0.30,5.20
Libya,71.12,72.68,69.63,17.67,6.17,36.20,13954.00,5.87,0.72,56.50,13.00,0.47,0.18,2.80,8.69,0.30
Liechtenstein,83.75,85.4,82,17.67,1.74,23.48,31433.77,5.50,0.72,67.47,42.08,0.67,4.43,0.10,4.76,5.43
Lithuania,76.17,80.8,71.41,30.20,4.14,31.10,54414.00,6.82,0.78,124.10,65.00,0.84,1.74,3.10,4.71,10.00
Luxembourg,82.36,83.94,80.75,22.30,1.05,20.20,150772.00,7.12,0.75,110.60,78.00,0.91,6.74,1.26,11.61,6.60
Macau,83.23,85.35,81.05,17.67,1.74,23.48,128268.00,5.50,0.72,67.47,42.08,0.67,2.22,0.54,4.76,5.43
Madagascar,63.83,65.6,62.12,25.10,0.39,3.80,1883.00,4.23,0.73,9.90,25.00,0.83,0.15,7.20,0.10,2.60
Malawi,67.56,70.77,64.27,8.60,0.57,6.40,1859.00,3.42,0.72,33.60,34.00,0.41,0.14,24.90,0.27,3.50
Malaysia,76.82,79.52,74.45,0.20,1.09,22.40,38729.00,5.98,0.68,119.30,52.00,0.49,0.96,1.60,8.00,3.00
Maldives,81.29,83,79.95,24.90,0.46,17.70,26543.00,5.50,0.63,101.20,39.00,0.72,0.21,0.40,4.16,2.30
Mali,60.67,62.15,59.25,7.30,1.30,10.00,3309.00,4.23,0.62,17.20,28.00,0.60,0.14,0.40,0.29,0.80
Malta,83.47,85.39,81.48,23.90,1.36,34.60,67364.00,6.35,0.73,102.00,49.00,0.25,1.32,2.30,3.25,3.60
Marshall Islands,67.08,69.48,65.03,30.40,1.74,47.30,8198.00,5.50,0.72,67.47,42.08,0.85,0.80,5.62,4.76,5.43
Mauritania,68.71,70.73,66.7,8.40,2.66,20.80,7271.00,4.51,0.68,39.50,30.00,0.88,0.15,4.40,0.95,0.40
Mauritius,75.1,78.34,72.11,20.50,1.16,19.50,31051.00,5.82,0.72,74.60,48.00,0.39,0.59,3.90,3.36,5.40
Mexico,75.26,78,72.44,14.10,1.18,36.10,25688.00,6.68,0.78,84.70,27.00,0.74,0.76,3.79,3.79,2.30
Micronesia,67.36,71.28,63.63,17.67,0.73,45.60,4346.00,5.50,0.72,106.90,42.08,0.71,0.62,5.62,4.76,5.30
Moldova,71.33,75.67,66.7,30.50,1.13,25.50,18716.00,5.82,0.81,50.30,42.00,0.59,0.62,4.80,2.85,6.00
Monaco,86.5,88.63,84.56,17.67,1.74,23.48,31433.77,5.50,0.72,67.47,42.08,0.67,0.49,5.62,4.76,5.43
Mongolia,71.99,76.66,67.49,29.20,1.15,24.00,19098.00,5.70,0.73,112.20,31.00,0.81,0.44,7.50,6.53,7.80
Montenegro,77.25,80.45,73.92,31.50,1.78,21.10,33380.00,5.71,0.71,93.00,46.00,0.72,1.04,2.90,4.76,6.00
Morocco,75.49,77.78,73.35,12.20,0.94,22.10,10305.00,4.80,0.63,57.00,39.00,0.84,1.76,-0.80,1.95,0.40
Mozambique,63.8,66.74,60.49,17.67,0.92,8.80,1700.00,5.22,0.74,21.00,21.00,0.61,0.17,3.04,0.31,3.20
Myanmar,67.1,70.38,63.99,42.30,0.84,7.50,5998.00,4.35,0.72,106.00,16.00,0.43,0.40,5.62,0.70,1.90
Namibia,67.52,71.48,63.45,13.20,1.74,15.30,11686.00,4.83,0.81,44.30,46.00,0.55,0.17,2.90,1.48,6.30
Nauru,62.28,64.19,60.41,46.70,1.74,70.20,14327.00,5.50,0.72,156.20,42.08,0.57,0.51,5.62,4.76,5.30
Nepal,70.64,72.14,69.09,25.70,0.42,6.60,5737.00,5.16,0.65,17.70,34.00,0.66,0.18,2.42,0.53,1.80
Netherlands,82.3,83.85,80.72,19.90,1.03,16.90,84218.00,7.32,0.76,81.00,78.00,0.50,4.69,2.40,7.52,1.50
New Caledonia,78.92,81.41,76.46,17.67,1.74,23.48,31433.77,5.50,0.72,101.70,42.08,0.67,1.20,0.40,18.67,5.43
New Zealand,82.24,83.89,80.6,10.90,1.38,34.20,55094.00,7.03,0.83,111.50,81.00,0.92,2.97,3.10,6.31,4.00
Nicaragua,75.1,77.58,72.46,17.67,0.86,32.40,8709.00,6.28,0.78,36.30,14.00,0.93,0.37,3.03,0.85,6.60
Niger,61.43,62.41,60.49,7.50,1.13,5.30,2015.00,4.56,0.61,10.10,31.00,0.59,0.15,-9.40,0.10,0.70
Nigeria,54.63,54.94,54.33,2.80,5.81,10.80,6440.00,4.88,0.65,13.80,26.00,0.24,0.27,15.10,0.55,0.60
North Korea,73.74,75.88,71.55,15.40,1.24,1.90,31433.77,5.50,0.72,24.60,15.00,0.67,0.14,5.62,2.07,3.50
North Macedonia,77.54,79.7,75.26,17.67,0.39,30.60,26587.00,5.37,0.70,46.50,40.00,0.55,0.77,5.62,4.53,6.00
Norway,83.46,84.97,81.94,12.20,4.45,19.80,101032.00,7.30,0.86,117.50,81.00,0.70,5.77,3.60,7.75,7.20
Oman,80.25,82.05,78.72,8.60,0.54,30.20,41664.00,5.50,0.64,69.50,52.00,0.94,1.73,1.40,19.38,0.40
Pakistan,67.8,70.32,65.46,17.20,0.54,21.80,6287.00,4.66,0.57,20.20,28.00,0.76,0.18,7.00,0.82,0.40
Palau,69.38,71.94,67.25,16.60,1.74,42.20,17532.00,4.88,0.72,67.47,42.08,0.37,0.20,5.62,76.41,5.30
Palestine,69.21,74.25,65.22,17.67,1.74,23.48,31433.77,5.50,0.72,67.47,42.08,0.67,0.10,-14.40,4.76,5.43
Panama,79.77,82.71,76.88,4.50,0.75,36.10,41405.00,6.36,0.74,100.50,33.00,0.70,0.82,0.20,2.59,6.80
Papua New Guinea,66.26,69.21,63.84,38.10,0.20,20.10,4889.00,5.50,0.64,77.00,26.00,0.72,0.18,4.70,0.46,5.30
Paraguay,73.98,77.09,71.01,9.40,0.57,32.10,18524.00,5.98,0.70,44.90,24.00,0.47,0.44,2.30,1.47,7.00
Peru,77.94,80.3,75.63,5.80,1.92,27.20,17802.00,5.84,0.74,80.40,30.00,0.68,0.49,2.21,1.84,8.90
Philippines,69.95,72.96,66.99,19.10,0.73,8.70,11794.00,6.05,0.78,62.90,32.00,0.74,0.39,2.40,1.36,5.30
Poland,78.81,82.49,75.1,22.10,0.69,31.40,50378.00,6.44,0.75,102.00,52.00,0.66,1.52,2.20,8.39,12.80
Portugal,82.55,85.25,79.68,25.80,0.64,27.10,50617.00,6.03,0.77,150.30,56.00,0.88,1.89,2.10,3.96,6.80
Puerto Rico,81.9,85.38,78.28,17.67,1.74,23.48,50155.00,5.50,0.72,67.47,42.08,0.67,1.20,2.00,3.89,5.43
Qatar,82.55,83.48,81.78,12.50,0.80,43.80,126110.00,5.50,0.72,97.10,58.00,0.79,3.28,2.28,35.48,0.30
Republic of the Congo,66,67.71,64.33,16.30,1.74,8.00,7026.00,5.22,0.72,64.50,42.08,0.71,1.20,-0.90,4.76,2.10
Romania,76.09,79.68,72.56,29.30,1.21,38.20,48712.00,6.49,0.70,74.60,45.00,0.62,1.41,9.60,4.03,2.80
Russia,73.34,79.19,67.48,28.90,5.40,28.00,47405.00,5.79,0.72,98.70,22.00,0.78,2.27,6.00,13.11,20.90
Rwanda,68.02,70.14,65.71,13.50,0.56,4.60,3711.00,5.50,0.76,13.00,58.00,0.85,0.19,7.50,0.12,7.00
